Periodo,Entidad_Federativa,Sexo,Grupo_edad,Actividad_economica,Numero_personas
20200301,Aguascalientes,Hombre,25 A 44 AÑOS,Restaurantes y Servicios de Alojamiento,5782
20200301,Aguascalientes,Hombre,45 A 64 AÑOS,Industria Manufacturera,21932
20200301,Aguascalientes,Hombre,45 A 64 AÑOS,Restaurantes y Servicios de Alojamiento,4155
20200301,Aguascalientes,Hombre,65 AÑOS Y MAS,Industria Manufacturera,1554
20200301,Aguascalientes,Mujer,25 A 44 AÑOS,Industria Extractiva y de la Electricidad,690
20200301,Aguascalientes,Mujer,45 A 64 AÑOS,Servicios Diversos,10935
20200301,Aguascalientes,Mujer,65 AÑOS Y MAS,Comercio,2156
20200301,Aguascalientes,Mujer,65 AÑOS Y MAS,Gobierno y Organismos Internacionales,456
20200301,Aguascalientes,Hombre,45 A 64 AÑOS,Gobierno y Organismos Internacionales,8335
20200301,Aguascalientes,Hombre,65 AÑOS Y MAS,Construcción,868
20200301,Aguascalientes,Hombre,25 A 44 AÑOS,Servicios Sociales,9125
20200301,Aguascalientes,Hombre,45 A 64 AÑOS,Comercio,18765
20200301,Aguascalientes,Hombre,65 AÑOS Y MAS,"Agricultura, Ganadería, Silvicultura, Caza y Pesca",3398
20200301,Aguascalientes,Mujer,45 A 64 AÑOS,Construcción,486
20200301,Aguascalientes,Hombre,25 A 44 AÑOS,Industria Manufacturera,54890
20200301,Aguascalientes,Mujer,15 A 24 AÑOS,Restaurantes y Servicios de Alojamiento,5210
20200301,Aguascalientes,Mujer,45 A 64 AÑOS,"Transportes, Comunicaciones, Correo y Almacenamiento",1040
20200301,Aguascalientes,Mujer,65 AÑOS Y MAS,Industria Manufacturera,236
20200301,Aguascalientes,Hombre,25 A 44 AÑOS,No Especificado,380
20200301,Aguascalientes,Hombre,45 A 64 AÑOS,Servicios Diversos,6915
20200301,Aguascalientes,Mujer,45 A 64 AÑOS,Industria Manufacturera,10370
20200301,Aguascalientes,Hombre,45 A 64 AÑOS,"Agricultura, Ganadería, Silvicultura, Caza y Pesca",7235
